Property ID,Property                                        ,Original                                                               ,Human translated
P141       ,IUCN conservation status                        ,What is the endangered status of XXX?                                  ,Quel est le statut en danger de XXX?
P141       ,IUCN conservation status                        ,How endangered does the iucn consider XXX?                             ,À quel point l'UICN considère-t-elle XXX en danger?
P141       ,IUCN conservation status                        ,What is the status of XXX?                                             ,Quel est le statut de XXX?
P141       ,IUCN conservation status                        ,What level is XXX's iucn conservation status?                          ,Quel est le niveau de conservation de l'iucn de XXX?
P141       ,IUCN conservation status                        ,What is the conservation status of XXX?                                ,Quel est l'état de conservation de XXX?
P141       ,IUCN conservation status                        ,What is an ecological status of XXX?                                   ,Qu'est-ce qu'un statut écologique de XXX?
P141       ,IUCN conservation status                        ,What status on the endangered list is XXX?                             ,Quel est le statut sur la liste en danger est XXX?
P141       ,IUCN conservation status                        ,What is the iucn conservation status of XXX?                           ,Quel est le statut de conservation de l'UICN de XXX?
P113       ,airline hub                                     ,What airport is XXX part of?                                           ,De quel aéroport fait partie XXX?
P113       ,airline hub                                     ,What airport is XXX associated with?                                   ,À quel aéroport est associé XXX?
P113       ,airline hub                                     ,What airport does XXX operate out of?                                  ,De quel aéroport fonctionne XXX?
P113       ,airline hub                                     ,Which airport does XXX operate in?                                     ,Dans quel aéroport fonctionne XXX?
P113       ,airline hub                                     ,What is the name of the airport where XXX is located?                  ,Quel est le nom de l'aéroport où se trouve XXX?
P113       ,airline hub                                     ,At what airport can you find XXX?                                      ,A quel aéroport pouvez-vous trouver XXX?
P113       ,airline hub                                     ,Which airport is most closely associated with XXX?                     ,Quel aéroport est le plus étroitement associé à XXX?
P113       ,airline hub                                     ,What is the name of the airport associated with XXX?                   ,Quel est le nom de l'aéroport associé à XXX?
P113       ,airline hub                                     ,Which airline hub does XXX operate out of?                             ,À partir de quelle plate-forme de transport aérien XXX fonctionne-t-il?
P84        ,architect                                       ,Who was the architect involved with XXX?                               ,Qui était l'architecte impliqué avec XXX?
P84        ,architect                                       ,Who was XXX designed by?                                               ,Qui a été conçu par XXX?
P84        ,architect                                       ,Which person is the architect of XXX?                                  ,Quelle personne est l'architecte de XXX?
P84        ,architect                                       ,Which designer was responsible for XXX?                                ,Quel designer était responsable de XXX?
P84        ,architect                                       ,Who was the architect that designed XXX?                               ,Qui était l'architecte qui a conçu XXX?
P84        ,architect                                       ,Who was the architect or designer of XXX?                              ,Qui était l'architecte ou le designer de XXX?
P84        ,architect                                       ,What is the name of the XXX architect?                                 ,Quel est le nom de l'architecte XXX?
P84        ,architect                                       ,The XXX project's architect was who?                                   ,L'architecte du projet XXX était qui?
P84        ,architect                                       ,Who is the architect for XXX?                                          ,Qui est l'architecte de XXX?
P84        ,architect                                       ,Who was the designer of XXX?                                           ,Qui était le concepteur de XXX?
P84        ,architect                                       ,The designer for XXX was?                                              ,Le designer de XXX était?
P84        ,architect                                       ,Who was behind the creation of XXX?                                    ,Qui était derrière la création de XXX?
P84        ,architect                                       ,Which person was the architect of XXX?                                 ,Quelle personne était l'architecte de XXX?
P84        ,architect                                       ,What was the name of the architect who worked on XXX?                  ,Quel était le nom de l'architecte qui a travaillé sur XXX?
