Property ID,Property                                        ,Original                                                               ,Human Translated
P141       ,IUCN conservation status                        ,What is the endangered status of XXX?                                  ,Qual è lo stato di minaccia diYYY XXX?
P141       ,IUCN conservation status                        ,How endangered does the iucn consider XXX?                             ,In che modo la IUCN considera lo stato di estinzione diYYY XXX?
P141       ,IUCN conservation status                        ,What is the status of XXX?                                             ,Qual è lo stato di conservazione diYYY XXX?
P141       ,IUCN conservation status                        ,What level is XXX's iucn conservation status?                          ,Quale livello è lo stato di conservazione secondo la IUCN diYYY XXX?
P141       ,IUCN conservation status                        ,What is the conservation status of XXX?                                ,Qual è lo stato di conservazione diYYY XXX?
P141       ,IUCN conservation status                        ,What is an ecological status of XXX?                                   ,
P141       ,IUCN conservation status                        ,What status on the endangered list is XXX?                             ,
P141       ,IUCN conservation status                        ,What is the iucn conservation status of XXX?                           ,"Secondo la IUCN, qual è lo stato di conservazione di XXX?"
P113       ,airline hub                                     ,What airport is XXX part of?                                           ,Di quale aeroporto fa parte XXX?
P113       ,airline hub                                     ,What airport is XXX associated with?                                   ,A quale aeroporto è associata XXX?
P113       ,airline hub                                     ,What airport does XXX operate out of?                                  ,Da quale aeroporto opera XXX?
P113       ,airline hub                                     ,Which airport does XXX operate in?                                     ,In quale aeroporto opera XXX?
P113       ,airline hub                                     ,What is the name of the airport where XXX is located?                  ,Qual è il nome dell'aeroporto in cui si trova XXX?
P113       ,airline hub                                     ,At what airport can you find XXX?                                      ,In quale aeroporto puoi trovare XXX?
P113       ,airline hub                                     ,Which airport is most closely associated with XXX?                     ,
P113       ,airline hub                                     ,What is the name of the airport associated with XXX?                   ,Qual è il nome dell'aeroporto con cui è affiliata XXX?
P113       ,airline hub                                     ,Which airline hub does XXX operate out of?                             ,
P84        ,architect                                       ,Who was the architect involved with XXX?                               ,
P84        ,architect                                       ,Who was XXX designed by?                                               ,
P84        ,architect                                       ,Which person is the architect of XXX?                                  ,Quale persona è l'architetto diYYY XXX?
P84        ,architect                                       ,Which designer was responsible for XXX?                                ,
P84        ,architect                                       ,Who was the architect that designed XXX?                               ,Chi era l'architetto che ha progettato YYY XXX?
P84        ,architect                                       ,Who was the architect or designer of XXX?                              ,Chi era l'architetto o il designer diYYY XXX?
P84        ,architect                                       ,What is the name of the XXX architect?                                 ,Qual è il nome dell'architetto diYYY XXX?
P84        ,architect                                       ,The XXX project's architect was who?                                   ,
P84        ,architect                                       ,Who is the architect for XXX?                                          ,
P84        ,architect                                       ,Who was the designer of XXX?                                           ,
P84        ,architect                                       ,The designer for XXX was?                                              ,
P84        ,architect                                       ,Who was behind the creation of XXX?                                    ,Chi c'era dietro la creazione diYYY XXX?
P84        ,architect                                       ,Which person was the architect of XXX?                                 ,
P84        ,architect                                       ,What was the name of the architect who worked on XXX?                  ,Qual era il nome dell'architetto che ha lavorato suYYY XXX?
P84        ,architect                                       ,The architect of XXX was whom?                                         ,
P84        ,architect                                       ,Who designed XXX?                                                      ,Chi ha progettato YYY XXX?
P84        ,architect                                       ,What architect designed XXX?                                           ,
P84        ,architect                                       ,Who was the designor of XXX?                                           ,
P84        ,architect                                       ,Who was the main designer of XXX?                                      ,
P84        ,architect                                       ,Who is the architect of XXX?                                           ,Chi è l'architetto diYYY XXX?
P84        ,architect                                       ,Which architect was responsible for XXX?                               ,
P84        ,architect                                       ,What was the designer of XXX's name?                                   ,
P84        ,architect                                       ,By which person XXX has been designed?                                 ,
P84        ,architect                                       ,Who created XXX?                                                       ,Chi ha creato YYY XXX?
P84        ,architect                                       ,Which was the architect for XXX?                                       ,
P84        ,architect                                       ,The architect of XXX is whom?                                          ,
P84        ,architect                                       ,Who was responsible for the design of XXX?                             ,
P84        ,architect                                       ,The architect of XXX was who?                                          ,
P84        ,architect                                       ,Who was mainly responsible for the design of XXX?                      ,
