Property ID,Property,Original,Human Translated
P141,IUCN conservation status,What is the endangered status of XXX?,Wie stark gefährdet ist YYY XXX?
P141,IUCN conservation status,How endangered does the iucn consider XXX?,Als wie stark gefährdet betrachtet der Iucn YYYa XXX?
P141,IUCN conservation status,What is the status of XXX?,Welchen Status hat YYY XXX?
P141,IUCN conservation status,What level is XXX's iucn conservation status?,
P141,IUCN conservation status,What is the conservation status of XXX?,Welchen Erhaltungszustand hat YYY XXX?
P141,IUCN conservation status,What is an ecological status of XXX?,
P141,IUCN conservation status,What status on the endangered list is XXX?,
P141,IUCN conservation status,What is the iucn conservation status of XXX?,
P113,airline hub,What airport is XXX part of?,XXX ist Teil welchen Flughafens?
P113,airline hub,What airport is XXX associated with?,Zu welchem Flughafen gehört XXX?
P113,airline hub,What airport does XXX operate out of?,Von welchem Flughafen aus fliegt XXX?
P113,airline hub,Which airport does XXX operate in?,
P113,airline hub,What is the name of the airport where XXX is located?,Wie heißt der Flughafen in dem sich XXX befindet?
P113,airline hub,At what airport can you find XXX?,An welchem Flughafen kann man XXX finden?
P113,airline hub,Which airport is most closely associated with XXX?,
P113,airline hub,What is the name of the airport associated with XXX?,
P113,airline hub,Which airline hub does XXX operate out of?,
P84,architect,Who was the architect involved with XXX?,Wer war der Architekt YYYg XXX?
P84,architect,Who was XXX designed by?,Von wem wurde YYY XXX entworfen?
P84,architect,Which person is the architect of XXX?,
P84,architect,Which designer was responsible for XXX?,Welcher Designer war für YYYa XXX verantwortlich?
P84,architect,Who was the architect that designed XXX?,"Wer war der Architekt, der YYYa XXX entworfen hat?"
P84,architect,Who was the architect or designer of XXX?,
P84,architect,What is the name of the XXX architect?,
P84,architect,The XXX project's architect was who?,
P84,architect,Who is the architect for XXX?,
P84,architect,Who was the designer of XXX?,
P84,architect,The designer for XXX was?,
P84,architect,Who was behind the creation of XXX?,
P84,architect,Which person was the architect of XXX?,
P84,architect,What was the name of the architect who worked on XXX?,"Wie hieß der Architekt, der an YYYd XXX gearbeitet hat?"
P84,architect,The architect of XXX was whom?,
P84,architect,Who designed XXX?,Wer hat YYYa XXX entworfen?
P84,architect,What architect designed XXX?,Welcher Architekt hat YYYa XXX entworfen?
P84,architect,Who was the designor of XXX?,
P84,architect,Who was the main designer of XXX?,
P84,architect,Who is the architect of XXX?,Wer war für YYYa XXX verantwortlich?
P84,architect,Which architect was responsible for XXX?,Welcher Architekt war für YYYa XXX verantwortlich?
P84,architect,What was the designer of XXX's name?,
P84,architect,By which person XXX has been designed?,YYY XXX wurde von wem entworfen?
P84,architect,Who created XXX?,
P84,architect,Which was the architect for XXX?,YYY XXX wurde von welchem Architekten entworfen?
P84,architect,The architect of XXX is whom?,
P84,architect,Who was responsible for the design of XXX?,
P84,architect,The architect of XXX was who?,
P84,architect,Who was mainly responsible for the design of XXX?,
P149,architectural style,The art style of XXX is what?,Welchen Kunststil hat YYY XXX?
P149,architectural style,Of what style is XXX?,Welchen Stil hat YYY XXX?
P149,architectural style,Which is the kind of art style of XXX?,YYY XXX hat welchen Kunststil?
P50,author,Whose writing work is XXX?,Wessen Werk ist XXX?
P50,author,Who wrote the work XXX?,Wer schrieb das Werk XXX?
P50,author,Who is the author of XXX?,Wer ist der Autor des Werkes XXX?
P50,author,Who authored XXX?,Wer hat XXX verfasst?
P50,author,Which author is responsible for XXX?,Wer schrieb XXX?
P50,author,Which author is associated with the work of XXX?,
P50,author,What writer wrote XXX?,Welcher Schriftsteller hat XXX geschrieben?
P50,author,What was the author of XXX's name?,
P50,author,What author wrote XXX?,Welcher Autor hat XXX geschrieben?
P50,author,The writer of XXX is who?,
P50,author,The literature of XXX was written by who?,
P50,author,Who wrote XXX?,
P50,author,Who was the writer of XXX?,
P50,author,Which person has written XXX?,
P50,author,Which author wrote XXX?,
P50,author,Who was the auther of XXX?,
P50,author,Who wrote the XXX?,
P50,author,Which author wrote the novel titled XXX?,
P50,author,What is the name of the author of XXX?,
P50,author,Which author penned XXX?,
P50,author,Who wrote the novel XXX?,Wer hat den Roman XXX geschrieben?
P50,author,Who is the writer of XXX?,Wer hat den Roman XXX verfasst?
P50,author,Who is the creator of XXX?,Wer hat das Werk XXX geschrieben?
P50,author,The one who wrote the XXX?,
P50,author,Who is the XXX by?,
P50,author,Who was XXX written by?,Von wem wurde XXX geschrieben?
P50,author,The XXX is by whom?,
P166,award received,What award was received by XXX?,Welche Auszeichnung hat XXX erhalten?
P166,award received,Which award did XXX get?,Welchen Preis erhielt XXX?
P166,award received,What was the award received by XXX?,Welches war die Auszeichnung die XXX erhielt?
P166,award received,Which award was honoured to XXX?,Welche Auszeichnung wurde an XXX verliehen?
P166,award received,Which award was bestowed upon XXX?,
P144,based on,The XXX is based upon what?,Worauf basiert YYY XXX?
P144,based on,Which is the basis of XXX?,Welche Basis hat YYY XXX?
P3373,brother,What is XXX's brothers name?,Wie heißt der Bruder von XXX?
P3373,brother,Who was the brother of XXX?,Wer war der Bruder von XXX?
P411,canonization status,What title is held by XXX?,Welchen Titel hat XXX inne?
P161,cast member,Who has acted in the film XXX?,Wer hat im Film XXX gespielt?
P161,cast member,Who featured in the film XXX?,Wer war im Film XXX zu sehen?
P161,cast member,Who is in XXX as a cast member?,
P161,cast member,Who has acted in the comedy film XXX?,Wer hat in der Komoedie XXX mitgespielt?
P161,cast member,Who are the stars of the film XXX?,Wer sind die Stars des Films XXX?
P161,cast member,Who acted in XXX?,Wer hat in XXX gespielt?
P161,cast member,Who was the star of XXX?,Wer hat in XXX mitgewirkt?
P161,cast member,Who are the cast members of XXX?,
P161,cast member,What cast members where in XXX?,Welche Darsteller waren in XXX zu sehen?
P161,cast member,"In the film XXX, who was the star?",
P509,cause of death,Why did XXX die?,Woran ist XXX gestorben?
P509,cause of death,Which ailment caused the death of XXX?,XXX ist an welcher Krankheit gestorben?
P509,cause of death,What was XXX's cause of death?,Welche Todesursache hatte XXX?
P509,cause of death,What kind of medical issue did XXX have?,Welches Leiden hatte XXX?
P509,cause of death,What killed XXX?,Was hat XXX getötet?
P509,cause of death,What is the cause of death for XXX?,
P509,cause of death,The cause of death of XXX is what?,
P509,cause of death,What caused XXX's death?,
P509,cause of death,What was the cause of death for XXX?,
P509,cause of death,What was XXX cause of death?,
P509,cause of death,What medical condition killed XXX?,Welche Krankheit hat XXX getötet?
P509,cause of death,What is the cause of death of XXX?,Woran starb XXX?
P509,cause of death,What did XXX die from?,
P509,cause of death,The cause of death for XXX was what?,
P509,cause of death,Of what did XXX die?,
P509,cause of death,From what did XXX die?,
P509,cause of death,Due to which disease did XXX die?,Aufgrund welcher Krankheit ist XXX gestorben?
P509,cause of death,What was the cause of XXX's death?,
P509,cause of death,Which is the cause of death of XXX?,
P509,cause of death,How did XXX die?,
P509,cause of death,What was the cause of death of XXX?,
P509,cause of death,What disease did XXX have?,
P509,cause of death,What did XXX die of?,
P509,cause of death,The disease that XXX died of was what?,
P488,chairperson,Who led XXX?,Welchen Vorsitzenden hatte YYY XXX?
P674,characters,The XXX has what character?,
P40,child,Who is the offspring of XXX?,Wer ist der Nachwuchs von XXX?
P40,child,What was XXX's child's name?,Wie hieß das Kind von XXX?
P1057,chromosome,What is the name of the chromosome where you can find XXX?,"Wie heißt das Chromosom, auf dem man YYYa XXX finden kann?"
P1057,chromosome,On what chromosome is XXX found?,Auf welchem Chromosom befindet sich YYY XXX?
P1057,chromosome,Which chromosome is the gene XXX located on?,Auf welchem Chromosom befindet sich das Gen XXX?
P1057,chromosome,Which  chromosome is related with XXX?,Welches Chromosom ist mit YYYd XXX verwandt?
P1057,chromosome,On what chromosome is XXX located?,
P1057,chromosome,What chromosome is XXX?,
P1057,chromosome,What is the name of XXX's chromosome?,
P1057,chromosome,Which chromosome is XXX found on?,
P1057,chromosome,Which chromosome is XXX located?,
P1057,chromosome,Where is the gene XXX located?,Wo befindet sich das Gen XXX?
P1057,chromosome,Which chromosone can you find XXX?,
P1057,chromosome,Which chromosome is XXX associated with?,
P195,collection,What is the name of the place where XXX can be found?,"Wie heißt der Ort, an dem YYY XXX zu finden ist?"
