Property ID,Property                                        ,Original                                                               ,Google Translate                                                                 ,Human checked,Google Translate
P141       ,IUCN conservation status                        ,What is the endangered status of XXX?                                  ,¿Cuál es el estado de XXX en peligro de extinción?                               ,¿Cuál es el estado de peligro de extención deYYY XXX?,¿Cuál es el estado de XXX en peligro de extinción?
P141       ,IUCN conservation status                        ,How endangered does the iucn consider XXX?                             ,¿Qué tan en peligro de extinción considera el iucn XXX?                          ,,¿Qué tan en peligro de extinción considera el iucn XXX?
P141       ,IUCN conservation status                        ,What is the status of XXX?                                             ,¿Cuál es el estado de XXX?                                                       ,,¿Cuál es el estado de XXX?
P141       ,IUCN conservation status                        ,What level is XXX's iucn conservation status?                          ,¿Qué nivel es el estado de conservación de XXX?                                  ,¿Cuál es el estado de conservación deYYY XXX?,¿Qué nivel es el estado de conservación de XXX?
P141       ,IUCN conservation status                        ,What is the conservation status of XXX?                                ,¿Cuál es el estado de conservación de XXX?                                       ,,¿Cuál es el estado de conservación de XXX?
P141       ,IUCN conservation status                        ,What is an ecological status of XXX?                                   ,¿Qué es un estado ecológico de XXX?                                              ,¿Qué es un estado ecológico deYYY XXX?,¿Qué es un estado ecológico de XXX?
P141       ,IUCN conservation status                        ,What status on the endangered list is XXX?                             ,¿Qué estado en la lista en peligro de extinción es XXX?                          ,¿Cuál es el estado en la lista de peligro de extinción deYYY XXX?,¿Qué estado en la lista en peligro de extinción es XXX?
P141       ,IUCN conservation status                        ,What is the iucn conservation status of XXX?                           ,¿Cuál es el estado de conservación de iucn de XXX?                               ,¿Cuál es el estado de conservación de iucn deYYY XXX?,¿Cuál es el estado de conservación de iucn de XXX?
P113       ,airline hub                                     ,What airport is XXX part of?                                           ,¿De qué aeropuerto forma parte XXX?                                              ,¿De qué aeropuerto forma parte XXX?,¿De qué aeropuerto forma parte XXX?
P113       ,airline hub                                     ,What airport is XXX associated with?                                   ,¿Con qué aeropuerto está asociado XXX?                                           ,¿Con qué aeropuerto está asociado XXX?,¿Con qué aeropuerto está asociado XXX?
P113       ,airline hub                                     ,What airport does XXX operate out of?                                  ,¿De qué aeropuerto opera XXX?                                                    ,¿Desde qué aeropuerto opera XXX?,¿De qué aeropuerto opera XXX?
P113       ,airline hub                                     ,Which airport does XXX operate in?                                     ,¿En qué aeropuerto opera XXX?                                                    ,¿En qué aeropuerto opera XXX?,¿En qué aeropuerto opera XXX?
P113       ,airline hub                                     ,What is the name of the airport where XXX is located?                  ,¿Cuál es el nombre del aeropuerto donde se encuentra XXX?                        ,¿Cuál es el nombre del aeropuerto donde se encuentra XXX?,¿Cuál es el nombre del aeropuerto donde se encuentra XXX?
P113       ,airline hub                                     ,At what airport can you find XXX?                                      ,¿En qué aeropuerto puedes encontrar XXX?                                         ,,¿En qué aeropuerto puedes encontrar XXX?
